Date,T_air,T_water,Discharge
2003-01-01,-1.592,,0.480
2003-01-02,1.546,,0.473
2003-01-03,-0.800,,0.479
2003-01-04,-1.125,,0.474
2003-01-05,-8.837,,0.455
2003-01-06,-10.133,,0.455
2003-01-07,-12.750,,0.456
2003-01-08,-12.413,,0.423
2003-01-09,-9.188,,0.467
2003-01-10,-12.942,,0.470
2003-01-11,-13.913,,0.450
2003-01-12,-13.500,,0.447
2003-01-13,-8.042,,0.460
2003-01-14,-3.092,,0.474
2003-01-15,-3.871,,0.478
2003-01-16,-4.483,,0.482
2003-01-17,-5.625,,0.486
2003-01-18,-6.392,,0.490
2003-01-19,-4.475,,0.494
2003-01-20,-2.558,,0.498
2003-01-21,0.042,,0.496
2003-01-22,-2.342,,0.494
2003-01-23,-4.617,,0.490
2003-01-24,-4.438,,0.494
2003-01-25,-8.950,,0.492
2003-01-26,-7.700,,0.500
2003-01-27,-2.467,,0.507
2003-01-28,-2.421,,0.510
2003-01-29,-7.013,,0.515
2003-01-30,-8.046,,0.519
2003-01-31,-11.679,,0.507
2003-02-01,-15.604,,0.507
2003-02-02,-9.142,,0.511
2003-02-03,-4.833,,0.514
2003-02-04,-6.171,,0.513
2003-02-05,-9.517,,0.513
2003-02-06,-9.371,,0.518
2003-02-07,-10.471,,0.517
2003-02-08,-4.787,,0.516
2003-02-09,-6.425,,0.520
2003-02-10,-9.587,,0.524
2003-02-11,-8.921,,0.528
2003-02-12,-10.750,,0.532
2003-02-13,-10.750,,0.531
2003-02-14,-10.025,,0.530
2003-02-15,-10.479,,0.529
2003-02-16,-13.038,,0.528
2003-02-17,-12.767,,0.532
2003-02-18,-9.958,,0.531
2003-02-19,-6.146,,0.530
2003-02-20,-3.783,,0.529
2003-02-21,-3.162,,0.528
2003-02-22,-3.775,,0.532
2003-02-23,-4.408,,0.536
2003-02-24,-3.917,,0.532
2003-02-25,-3.142,,0.514
2003-02-26,-2.288,,0.503
2003-02-27,-3.217,,0.493
2003-02-28,0.279,,0.482
2003-03-01,0.688,,0.471
2003-03-02,0.096,,0.461
2003-03-03,-2.688,,0.442
2003-03-04,-2.850,,0.441
2003-03-05,2.283,,0.418
2003-03-06,0.962,,0.411
2003-03-07,-1.233,,0.403
2003-03-08,-1.583,,0.398
2003-03-09,-0.300,,0.399
2003-03-10,2.388,,0.404
2003-03-11,4.813,,0.409
2003-03-12,2.271,,0.417
2003-03-13,-1.729,,0.417
2003-03-14,-4.192,,0.417
2003-03-15,-3.779,,0.412
2003-03-16,-4.267,,0.417
2003-03-17,-1.758,,0.418
2003-03-18,-1.592,,0.415
2003-03-19,-0.500,,0.418
2003-03-20,0.167,,0.415
2003-03-21,0.221,,0.416
2003-03-22,0.425,,0.413
2003-03-23,1.146,,0.417
2003-03-24,2.488,,0.428
2003-03-25,2.717,,0.440
2003-03-26,3.238,,0.456
2003-03-27,3.883,,0.472
2003-03-28,4.888,,0.497
2003-03-29,5.079,,0.533
2003-03-30,5.358,,0.565
2003-03-31,2.988,,0.584
2003-04-01,4.221,,0.579
2003-04-02,-1.567,,0.592
2003-04-03,-3.579,,0.555
2003-04-04,-3.533,,0.529
2003-04-05,-1.229,,0.525
2003-04-06,-3.483,,0.509
2003-04-07,-9.808,,0.412
2003-04-08,-6.583,,0.424
2003-04-09,-3.404,,0.468
2003-04-10,-0.987,,0.456
2003-04-11,-1.583,,0.449
2003-04-12,0.283,,0.433
2003-04-13,2.950,,0.434
2003-04-14,4.558,,0.462
2003-04-15,5.467,,0.510
2003-04-16,6.133,,0.587
2003-04-17,6.242,,0.679
2003-04-18,4.142,,0.759
2003-04-19,3.829,,0.758
2003-04-20,5.604,,0.705
2003-04-21,3.683,,0.709
2003-04-22,4.417,,0.743
2003-04-23,3.917,,0.745
2003-04-24,5.438,,0.816
2003-04-25,8.387,,1.133
2003-04-26,7.458,,1.527
2003-04-27,5.700,,1.710
2003-04-28,8.029,,1.839
2003-04-29,10.521,,2.350
2003-04-30,11.146,,3.548
2003-05-01,7.146,,3.607
2003-05-02,8.721,,3.110
2003-05-03,5.033,,2.941
2003-05-04,9.850,,2.879
2003-05-05,13.937,,3.470
2003-05-06,14.050,,4.380
2003-05-07,14.342,,4.740
2003-05-08,13.767,,5.138
2003-05-09,8.450,,5.028
2003-05-10,7.942,,4.590
