Year,Month,Day,Tair,Twat_obs,Twat_mod,Twat_obs_agg,Twat_mod_agg,Q,Tair_gap,Q_gap,segment_id
-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,1,-999
-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,1,-999
-999,-999,-999,22.107977294922023,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,18.54908905029305,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.15786895752001,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.67909774780304,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,13.994833882650028,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.548338826497002,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,11.451517995199026,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.421857452393,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.546628570557004,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.303584035238032,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,17.44754943847704,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,18.775935109456043,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,14.91965128580705,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.14293441772503,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.274332936605049,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.146704610189033,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.565087890625023,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.022136942546013,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,14.315292612712028,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,13.932018534343,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,13.69330749511704,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.002030944824014,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,13.434190368652024,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.391784922282,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,13.70414505004902,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,17.154178873698015,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,19.029991404216048,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.801769510905046,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.64439798990901,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,14.93924738566102,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,11.640845235189031,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,11.936750030518,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,14.194074249268,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.33932647705103,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,13.673168436686012,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,11.675757344564031,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.364446258545,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,14.494950866699014,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.39699452718105,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.311830139160008,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.262237803141034,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.403651173908996,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,13.457359568278036,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.00795644124304,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,13.093747711182004,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,14.902591959635004,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.795007324219,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.52650985717804,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,17.67862981160505,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,18.92354990641303,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,18.92472356160505,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,17.863069152831997,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,20.527307128906045,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.117035166423022,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,13.996682739258006,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,17.621898905436012,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,13.781692759196003,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.081583913167037,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.866653696696005,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.228228505452025,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,17.471166229248013,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,19.244653320313034,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,18.66620152791404,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,14.504284159342037,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.429789479573005,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.13217442830404,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,13.314317321777024,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.516315714518043,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,19.138208007813034,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,19.551511383057004,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,17.48192367553702,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.377515411377033,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,14.944500223796013,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.63797785441102,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.271087900797,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,14.160841878255042,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.08022715250604,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.157019551595,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.153412119548022,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.523122406005996,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.573599751790027,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,17.921220397949014,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,17.779369608561012,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.448520914714038,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,17.791544850667037,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.63898366292301,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,17.108224487304994,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,17.799129740397007,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.889620717366997,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.369963582357002,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,13.28947347005203,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.923636372884005,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,13.89305775960304,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.379040018717037,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.44015146891303,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,17.163854217529035,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.372738138835018,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.57941335042301,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.448935445150028,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,14.05026270548501,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,14.18832550048802,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.247364298503044,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,7.863434092204045,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.008650716146008,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.919119771322016,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.526546732583997,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.44716288248702,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.86038869222,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.312042490641034,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,11.711874898275028,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,13.846882120768043,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,14.890047963460006,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.205600992839038,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.334163920085018,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.782173411052042,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.127539571126022,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,11.361815388997002,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,11.048197682699026,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.778765614827023,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.762333170573015,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,7.585046386719,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
