Year,Month,Day,Twat_mod_p5,Twat_mod_p50,Twat_mod_p95
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
-999,-999,-999,,,
