DateTime,Air Temperature (1.5m)
2015-12-12,16.199235
2015-12-13,16.149772
2015-12-14,11.6568572
2015-12-15,10.092288
2015-12-16,11.5171311
2015-12-17,10.081791
2015-12-18,8.0744512
2015-12-19,7.116496
2015-12-20,11.7084574
2015-12-21,13.0469663
2015-12-22,16.333091
2015-12-23,13.5874415
2015-12-24,11.0026532
2015-12-25,13.4531704
2015-12-26,15.5106209
2015-12-27,14.99710928
2015-12-28,14.984124
2015-12-29,16.017011
2015-12-30,14.133867
2015-12-31,13.965764
2016-01-01,15.687498
2016-01-02,17.968783
2016-01-03,17.672852
2016-01-04,16.422985
2016-01-05,10.0128
2016-01-06,11.298628
2016-01-07,12.723703
2016-01-08,14.94046523
2016-01-09,17.26257
2016-01-10,14.835336
2016-01-11,13.0851448
2016-01-12,15.3683451
2016-01-13,14.309152939
2016-01-14,12.6696608
2016-01-15,16.3701217
2016-01-16,16.670569
2016-01-17,16.392992
2016-01-18,17.793557
2016-01-19,19.118338
2016-01-20,18.90389
2016-01-21,17.529326
2016-01-22,17.090045
2016-01-23,16.4436151
2016-01-24,18.001706
2016-01-25,18.77736
2016-01-26,19.124268
2016-01-27,20.080928
2016-01-28,17.476334
2016-01-29,15.582996
2016-01-30,17.401879
2016-01-31,17.846493
2016-02-01,16.775654
2016-02-02,17.260796
2016-02-03,18.69042
2016-02-04,19.422087
2016-02-05,18.68535
2016-02-06,17.114197
2016-02-07,18.305652
2016-02-08,18.10476
2016-02-09,17.389817
2016-02-10,17.43365
2016-02-11,17.418358
2016-02-12,18.37227
2016-02-13,18.665308
2016-02-14,18.464438
2016-02-15,18.982015
2016-02-16,18.441623
2016-02-17,18.834822
2016-02-18,17.3358
2016-02-19,17.83187
2016-02-20,15.083092
2016-02-21,15.3561884
2016-02-22,16.125382
2016-02-23,17.472885
2016-02-24,16.408065
2016-02-25,15.383788
2016-02-26,14.53287082
2016-02-27,18.38311
2016-02-28,15.6630665
2016-02-29,20.425346
2016-03-01,16.66823
2016-03-02,14.36549639
2016-03-03,13.350814
2016-03-04,14.14907917
2016-03-05,16.1659541
2016-03-06,16.90938
2016-03-07,15.8773149
2016-03-08,18.454947
2016-03-09,17.5987
2016-03-10,14.972298
2016-03-11,14.718412878
2016-03-12,10.6053027
2016-03-13,9.3343569
2016-03-14,12.0349932
2016-03-15,13.236958
2016-03-16,14.581638
2016-03-17,14.15131127
2016-03-18,12.8570452
2016-03-19,16.213889
2016-03-20,16.832788
2016-03-21,16.843721
2016-03-22,17.156907
2016-03-23,16.772454
2016-03-24,18.430733
2016-03-25,18.5021208
2016-03-26,15.28443156
2016-03-27,14.4559321
2016-03-28,14.91512845
2016-03-29,14.8344707
2016-03-30,12.482146
2016-03-31,12.052744
2016-04-01,11.3688569
2016-04-02,13.653198
2016-04-03,16.5509139
2016-04-04,16.328076
2016-04-05,12.174725
2016-04-06,9.2810668
2016-04-07,7.45127236
2016-04-08,11.7099812
2016-04-09,12.3951988
2016-04-10,12.802905
2016-04-11,14.58072845
2016-04-12,12.9867049
2016-04-13,13.20573
2016-04-14,11.1807546
2016-04-15,7.111805
2016-04-16,9.112006
2016-04-17,8.7210932
2016-04-18,10.6128852
2016-04-19,11.245056
2016-04-20,8.639308
2016-04-21,9.6940051
2016-04-22,10.1811007
2016-04-23,11.4790903
2016-04-24,11.068368
2016-04-25,11.426204
2016-04-26,9.1644925
2016-04-27,10.0203192
2016-04-28,10.3156911
2016-04-29,10.0596852
2016-04-30,9.3153734
2016-05-01,8.674455
2016-05-02,10.209173
2016-05-03,11.994902
2016-05-04,12.4688754
2016-05-05,12.6441871
2016-05-06,13.6573769
2016-05-07,14.398132
