Date,T_air,T_water,Discharge
2015-01-01,1.81,1.73,3.62
2015-01-02,1.02,1.94,4.47
2015-01-03,1.93,2.24,3.99
2015-01-04,2.95,2.63,4.25
2015-01-05,0.82,2.5,5.22
2015-01-06,0.8,2.64,6.13
2015-01-07,2.96,3.46,5.15
2015-01-08,1.96,3.33,3.92
2015-01-09,0.47,3.2,5.28
2015-01-10,1.67,2.75,5.92
2015-01-11,0.45,2.49,4.52
2015-01-12,0.45,3.15,4.95
2015-01-13,1.29,3.16,5.12
2015-01-14,-1.3,3.12,4.53
2015-01-15,-1.07,2.08,5.72
2015-01-16,0.33,2.22,5.16
2015-01-17,-0.2,1.59,5.64
2015-01-18,1.4,2.22,4.64
2015-01-19,-0.05,2.71,5.06
2015-01-20,-0.64,2.0,6.04
2015-01-21,2.83,2.76,5.21
2015-01-22,0.82,2.45,6.95
2015-01-23,1.19,2.72,5.3
2015-01-24,-0.57,1.97,5.86
2015-01-25,0.51,2.46,6.48
2015-01-26,1.33,1.33,4.66
2015-01-27,-0.15,2.35,4.44
2015-01-28,1.72,1.92,4.69
2015-01-29,0.59,3.04,6.98
2015-01-30,1.0,2.9,5.58
2015-01-31,0.67,2.77,8.13
2015-02-01,3.66,3.54,5.69
2015-02-02,1.47,2.59,6.35
2015-02-03,0.27,3.56,7.5
2015-02-04,2.58,3.41,7.94
2015-02-05,0.19,2.81,8.04
2015-02-06,1.96,3.46,7.42
2015-02-07,-0.58,2.34,7.34
2015-02-08,0.24,2.37,7.06
2015-02-09,2.14,2.61,7.27
2015-02-10,2.86,2.85,6.27
2015-02-11,2.25,2.75,6.13
2015-02-12,1.98,3.73,6.84
2015-02-13,1.83,3.17,6.78
2015-02-14,0.5,3.28,6.62
2015-02-15,1.49,2.92,7.6
2015-02-16,1.88,2.47,7.88
2015-02-17,3.79,3.58,7.25
2015-02-18,3.02,2.85,8.43
2015-02-19,0.58,3.42,6.4
2015-02-20,3.18,3.06,7.23
2015-02-21,2.42,4.45,6.88
2015-02-22,2.17,4.03,6.03
2015-02-23,3.81,3.92,7.52
2015-02-24,4.41,4.63,7.56
2015-02-25,4.39,3.99,8.94
2015-02-26,2.37,4.48,8.3
2015-02-27,3.12,4.38,7.04
2015-02-28,3.99,4.54,9.41
2015-03-01,4.88,5.16,8.98
2015-03-02,3.24,4.94,8.53
2015-03-03,3.71,4.81,7.96
2015-03-04,2.72,3.95,7.44
2015-03-05,2.73,4.17,7.98
2015-03-06,5.26,4.75,9.21
2015-03-07,6.03,5.14,9.92
2015-03-08,4.44,4.72,9.72
