Year,Month,Day,Tair,Twat_obs,Twat_mod,Twat_obs_agg,Twat_mod_agg,Q
-999,-999,-999,3.99,4.8,4.8,-999.0,-999.0,15.37
-999,-999,-999,2.73,4.9,4.3686736520458025,-999.0,-999.0,14.84
-999,-999,-999,4.3,4.76,4.2943908497516,-999.0,-999.0,16.43
-999,-999,-999,6.06,3.45,4.935124321116992,-999.0,-999.0,15.5
-999,-999,-999,2.56,4.39,4.471228318125941,-999.0,-999.0,15.7
-999,-999,-999,2.58,4.57,3.836178993461183,-999.0,-999.0,16.26
-999,-999,-999,6.22,4.18,4.561361999505007,-999.0,-999.0,16.11
-999,-999,-999,4.62,2.06,4.705106832386562,-999.0,-999.0,16.75
-999,-999,-999,2.17,4.28,3.9527108333680134,-999.0,-999.0,16.44
-999,-999,-999,4.23,6.31,4.031633539536551,-999.0,-999.0,16.18
-999,-999,-999,2.25,3.72,3.734421935311024,-999.0,-999.0,16.79
-999,-999,-999,2.28,3.33,3.4591781665640795,-999.0,-999.0,16.31
-999,-999,-999,3.74,4.42,3.695417842547694,-999.0,-999.0,16.96
-999,-999,-999,-0.53,4.35,2.829274663867435,-999.0,-999.0,17.05
-999,-999,-999,-0.1,5.21,2.1952081602335305,-999.0,-999.0,17.12
-999,-999,-999,2.27,2.75,2.627849212990344,-999.0,-999.0,17.32
-999,-999,-999,1.43,4.74,2.8603184881374384,-999.0,-999.0,16.93
-999,-999,-999,4.14,4.59,3.4575563995837952,-999.0,-999.0,17.47
-999,-999,-999,1.76,3.86,3.2713585750989704,-999.0,-999.0,17.92
-999,-999,-999,0.81,4.34,2.683163440622364,-999.0,-999.0,18.12
-999,-999,-999,6.64,5.03,3.8593098633289564,-999.0,-999.0,17.8
-999,-999,-999,3.32,4.88,3.8784528969561416,-999.0,-999.0,19.25
-999,-999,-999,3.99,2.87,3.7431231041596678,-999.0,-999.0,18.18
-999,-999,-999,1.08,4.85,3.022750558234746,-999.0,-999.0,19.32
-999,-999,-999,2.92,3.97,2.9164239110519117,-999.0,-999.0,19.1
-999,-999,-999,4.32,4.13,3.4861332898659483,-999.0,-999.0,18.76
-999,-999,-999,1.88,4.14,3.0368318481593395,-999.0,-999.0,20.63
-999,-999,-999,5.02,3.94,3.4994967656131,-999.0,-999.0,18.92
-999,-999,-999,3.17,5.3,3.4989583067293624,-999.0,-999.0,20.13
-999,-999,-999,3.88,4.05,3.3920824241517034,-999.0,-999.0,20.36
-999,-999,-999,3.36,3.04,3.413437266306759,-999.0,-999.0,19.6
-999,-999,-999,8.37,3.8,4.399936058701632,-999.0,-999.0,21.06
-999,-999,-999,4.75,4.4,4.428541413046163,-999.0,-999.0,20.11
-999,-999,-999,2.77,5.49,3.6252762264136758,-999.0,-999.0,20.55
-999,-999,-999,6.64,4.9,4.059321668899852,-999.0,-999.0,20.71
-999,-999,-999,2.67,3.48,3.6951730483305814,-999.0,-999.0,20.68
-999,-999,-999,5.65,6.86,3.801915977593766,-999.0,-999.0,21.41
-999,-999,-999,1.43,4.68,3.1566697160789685,-999.0,-999.0,21.57
-999,-999,-999,2.82,5.73,2.9693668315959783,-999.0,-999.0,20.68
-999,-999,-999,6.0,4.35,3.6643388782862214,-999.0,-999.0,22.35
-999,-999,-999,7.21,5.09,4.544599938733461,-999.0,-999.0,21.04
-999,-999,-999,6.21,5.45,4.618031336125171,-999.0,-999.0,22.45
-999,-999,-999,5.77,5.88,4.3683454499922885,-999.0,-999.0,22.7
-999,-999,-999,5.54,5.77,4.333590799559685,-999.0,-999.0,21.7
-999,-999,-999,3.32,-999.0,3.8423603837623155,-999.0,-999.0,22.1
-999,-999,-999,4.98,4.52,3.8712235315594277,-999.0,-999.0,22.03
-999,-999,-999,5.65,4.32,4.174539356758989,-999.0,-999.0,22.53
-999,-999,-999,8.83,5.29,5.020203155319761,-999.0,-999.0,22.65
-999,-999,-999,7.56,5.96,5.22319353552797,-999.0,-999.0,23.44
-999,-999,-999,3.5,4.87,4.207282555865284,-999.0,-999.0,24.06
-999,-999,-999,7.83,6.23,4.451795283800515,-999.0,-999.0,24.31
-999,-999,-999,6.56,6.69,4.795971071485671,-999.0,-999.0,23.23
-999,-999,-999,6.14,4.4,4.732605335073791,-999.0,-999.0,23.54
-999,-999,-999,8.88,4.55,5.324644877724044,-999.0,-999.0,23.23
-999,-999,-999,9.88,5.33,5.975769138614168,-999.0,-999.0,23.64
-999,-999,-999,9.85,5.86,6.131919073940022,-999.0,-999.0,24.75
-999,-999,-999,6.48,5.11,5.358191011604479,-999.0,-999.0,25.54
-999,-999,-999,7.71,7.07,5.254902392659338,-999.0,-999.0,24.0
-999,-999,-999,9.16,6.22,5.724443519373758,-999.0,-999.0,24.36
-999,-999,-999,10.63,5.93,6.282473393761438,-999.0,-999.0,24.76
-999,-999,-999,7.89,4.54,5.978502208322352,-999.0,-999.0,25.09
-999,-999,-999,8.66,4.75,5.865098820022003,-999.0,-999.0,24.76
-999,-999,-999,7.0,6.44,5.53739335879572,-999.0,-999.0,25.49
-999,-999,-999,7.0,4.13,5.335724598123345,-999.0,-999.0,25.19
-999,-999,-999,11.2,7.37,6.182672120209499,-999.0,-999.0,25.55
-999,-999,-999,12.47,6.3,7.038266282977727,-999.0,-999.0,26.03
-999,-999,-999,9.8,9.8,6.8726064106267275,-999.0,-999.0,25.87
-999,-999,-999,12.14,8.96,7.1320182838257224,-999.0,-999.0,25.82
-999,-999,-999,11.05,6.58,7.203899285307789,-999.0,-999.0,26.11
-999,-999,-999,9.23,6.76,6.765807799775526,-999.0,-999.0,26.26
-999,-999,-999,11.43,7.97,6.976341074631979,-999.0,-999.0,26.28
-999,-999,-999,13.98,8.78,7.783428716609565,-999.0,-999.0,26.47
-999,-999,-999,11.02,5.55,7.501786801163516,-999.0,-999.0,27.96
-999,-999,-999,14.42,5.51,7.922205653601514,-999.0,-999.0,27.2
-999,-999,-999,6.25,6.79,6.779251982429843,-999.0,-999.0,26.88
-999,-999,-999,13.33,8.11,7.196286609119047,-999.0,-999.0,27.57
-999,-999,-999,12.06,8.13,7.730169718778642,-999.0,-999.0,27.13
-999,-999,-999,11.49,8.82,7.611400942203746,-999.0,-999.0,28.22
-999,-999,-999,12.47,6.67,7.77975000371449,-999.0,-999.0,27.75
