Parameter,Perturbation_%,Sensitivity_Index,Status
par_1,1.0,7.3287316864875045,Active
par_2,1.0,10.785006244172028,Active
par_3,1.0,8.711458825599607,Active
par_4,1.0,0.11752542103765735,Active
par_5,1.0,0.714678155707338,Active
par_6,1.0,4.575383273898934,Active
par_7,1.0,15.412562242310186,Active
par_8,1.0,8.839413530690582,Active
par_1,2.0,7.328731686487506,Active
par_2,2.0,10.785006244172022,Active
par_3,2.0,8.71289398861595,Active
par_4,2.0,0.1175322368128772,Active
par_5,2.0,0.7146781557073373,Active
par_6,2.0,4.575383273898931,Active
par_7,2.0,15.382149071389936,Active
par_8,2.0,8.841083856254876,Active
par_1,5.0,7.328731686487506,Active
par_2,5.0,10.78500624417202,Active
par_3,5.0,8.722953978401334,Active
par_4,5.0,0.11757991335861423,Active
par_5,5.0,0.7146781557073367,Active
par_6,5.0,4.5753832738989315,Active
par_7,5.0,15.170263585769614,Active
par_8,5.0,8.852796114204702,Active
