Date,T_air,T_water,Discharge
2018-01-01,3.99,4.8,15.37
2018-01-02,2.73,4.9,14.84
2018-01-03,4.3,4.76,16.43
2018-01-04,6.06,3.45,15.5
2018-01-05,2.56,4.39,15.7
2018-01-06,2.58,4.57,16.26
2018-01-07,6.22,4.18,16.11
2018-01-08,4.62,2.06,16.75
2018-01-09,2.17,4.28,16.44
2018-01-10,4.23,6.31,16.18
2018-01-11,2.25,3.72,16.79
2018-01-12,2.28,3.33,16.31
2018-01-13,3.74,4.42,16.96
2018-01-14,-0.53,4.35,17.05
2018-01-15,-0.1,5.21,17.12
2018-01-16,2.27,2.75,17.32
2018-01-17,1.43,4.74,16.93
2018-01-18,4.14,4.59,17.47
2018-01-19,1.76,3.86,17.92
2018-01-20,0.81,4.34,18.12
2018-01-21,6.64,5.03,17.8
2018-01-22,3.32,4.88,19.25
2018-01-23,3.99,2.87,18.18
2018-01-24,1.08,4.85,19.32
2018-01-25,2.92,3.97,19.1
2018-01-26,4.32,4.13,18.76
2018-01-27,1.88,4.14,20.63
2018-01-28,5.02,3.94,18.92
2018-01-29,3.17,5.3,20.13
2018-01-30,3.88,4.05,20.36
2018-01-31,3.36,3.04,19.6
2018-02-01,8.37,3.8,21.06
2018-02-02,4.75,4.4,20.11
2018-02-03,2.77,5.49,20.55
2018-02-04,6.64,4.9,20.71
2018-02-05,2.67,3.48,20.68
2018-02-06,5.65,6.86,21.41
2018-02-07,1.43,4.68,21.57
2018-02-08,2.82,5.73,20.68
2018-02-09,6.0,4.35,22.35
2018-02-10,7.21,5.09,21.04
2018-02-11,6.21,5.45,22.45
2018-02-12,5.77,5.88,22.7
2018-02-13,5.54,5.77,21.7
2018-02-14,3.32,-999.0,22.1
2018-02-15,4.98,4.52,22.03
2018-02-16,5.65,4.32,22.53
2018-02-17,8.83,5.29,22.65
2018-02-18,7.56,5.96,23.44
2018-02-19,3.5,4.87,24.06
2018-02-20,7.83,6.23,24.31
2018-02-21,6.56,6.69,23.23
2018-02-22,6.14,4.4,23.54
2018-02-23,8.88,4.55,23.23
2018-02-24,9.88,5.33,23.64
2018-02-25,9.85,5.86,24.75
2018-02-26,6.48,5.11,25.54
2018-02-27,7.71,7.07,24.0
2018-02-28,9.16,6.22,24.36
2018-03-01,10.63,5.93,24.76
2018-03-02,7.89,4.54,25.09
2018-03-03,8.66,4.75,24.76
2018-03-04,7.0,6.44,25.49
2018-03-05,7.0,4.13,25.19
2018-03-06,11.2,7.37,25.55
2018-03-07,12.47,6.3,26.03
2018-03-08,9.8,9.8,25.87
2018-03-09,12.14,8.96,25.82
2018-03-10,11.05,6.58,26.11
2018-03-11,9.23,6.76,26.26
2018-03-12,11.43,7.97,26.28
2018-03-13,13.98,8.78,26.47
2018-03-14,11.02,5.55,27.96
2018-03-15,14.42,5.51,27.2
2018-03-16,6.25,6.79,26.88
2018-03-17,13.33,8.11,27.57
2018-03-18,12.06,8.13,27.13
2018-03-19,11.49,8.82,28.22
2018-03-20,12.47,6.67,27.75
2018-03-21,8.51,5.67,27.63
2018-03-22,12.25,8.97,28.06
2018-03-23,13.61,7.4,27.39
2018-03-24,16.05,6.33,27.63
2018-03-25,12.26,8.62,27.73
2018-03-26,11.89,9.39,28.37
2018-03-27,12.71,8.6,29.79
2018-03-28,15.75,8.39,30.58
2018-03-29,14.78,8.82,29.01
2018-03-30,13.27,8.74,29.03
2018-03-31,15.56,7.89,28.26
2018-04-01,14.94,8.65,28.72
2018-04-02,16.89,10.02,28.74
2018-04-03,13.75,9.95,28.9
2018-04-04,14.71,9.93,29.18
2018-04-05,14.78,8.9,29.15
2018-04-06,12.85,9.84,28.82
2018-04-07,16.57,7.98,30.0
2018-04-08,16.71,10.47,29.22
2018-04-09,16.4,11.86,29.84
2018-04-10,16.13,9.09,31.62
2018-04-11,13.97,10.11,29.51
2018-04-12,16.16,11.16,29.24
2018-04-13,16.52,12.22,29.9
2018-04-14,15.81,10.66,30.84
2018-04-15,17.29,10.55,31.84
2018-04-16,18.62,9.41,29.78
2018-04-17,21.79,11.62,30.59
2018-04-18,18.56,-999.0,30.16
2018-04-19,18.93,12.07,30.38
2018-04-20,18.46,11.91,33.24
2018-04-21,14.97,12.39,30.01
2018-04-22,18.95,12.2,30.72
2018-04-23,19.32,11.53,30.9
2018-04-24,24.32,13.3,31.4
2018-04-25,19.2,12.84,30.77
2018-04-26,20.37,12.77,30.93
2018-04-27,19.89,11.92,30.62
2018-04-28,17.81,14.33,30.97
2018-04-29,22.62,13.83,30.7
2018-04-30,22.02,12.75,31.25
2018-05-01,22.28,14.44,30.74
2018-05-02,19.06,13.08,31.14
2018-05-03,23.87,12.93,30.94
2018-05-04,18.43,13.08,31.72
2018-05-05,22.59,12.21,30.95
2018-05-06,25.97,14.58,30.4
2018-05-07,19.78,12.41,31.87
2018-05-08,20.79,13.15,30.63
2018-05-09,22.29,12.43,30.72
2018-05-10,21.25,14.55,30.74
2018-05-11,19.32,14.61,31.98
2018-05-12,22.72,14.57,30.33
2018-05-13,20.62,13.98,34.77
2018-05-14,23.85,13.98,31.65
2018-05-15,21.22,15.74,31.06
2018-05-16,26.31,14.85,30.9
2018-05-17,21.79,15.84,31.05
2018-05-18,22.86,14.76,31.17
2018-05-19,25.28,15.95,31.23
2018-05-20,21.33,17.19,31.13
2018-05-21,24.38,16.6,30.82
2018-05-22,26.68,15.72,30.65
2018-05-23,20.98,16.5,30.63
2018-05-24,24.7,16.12,30.56
2018-05-25,24.98,16.48,31.37
2018-05-26,26.15,16.26,30.91
2018-05-27,22.23,16.54,29.74
2018-05-28,22.19,17.03,30.84
2018-05-29,25.99,15.93,30.5
2018-05-30,25.65,16.01,30.33
2018-05-31,25.67,15.75,30.1
2018-06-01,25.97,15.64,30.96
2018-06-02,24.02,16.13,30.75
2018-06-03,25.95,17.61,29.75
2018-06-04,26.17,16.65,30.22
2018-06-05,24.25,18.16,29.54
2018-06-06,29.5,17.78,29.34
2018-06-07,26.81,15.87,29.49
2018-06-08,23.57,-999.0,30.21
2018-06-09,27.34,18.83,30.2
2018-06-10,24.16,17.12,29.79
2018-06-11,27.76,18.62,29.84
2018-06-12,28.58,17.43,29.61
2018-06-13,24.69,18.47,28.94
2018-06-14,28.32,17.19,29.36
2018-06-15,27.29,16.74,29.51
2018-06-16,28.16,18.23,29.37
2018-06-17,30.37,18.56,29.62
2018-06-18,26.14,18.36,29.12
2018-06-19,25.17,17.65,28.78
2018-06-20,24.94,18.51,29.18
2018-06-21,25.13,19.24,28.34
2018-06-22,26.65,19.0,27.88
2018-06-23,27.52,19.29,28.04
2018-06-24,27.43,18.5,27.68
2018-06-25,28.55,20.4,27.58
2018-06-26,26.95,18.11,27.67
2018-06-27,29.85,19.83,27.29
2018-06-28,26.43,20.58,27.34
2018-06-29,32.42,19.93,26.74
2018-06-30,28.24,-999.0,27.33
2018-07-01,25.28,19.01,27.09
2018-07-02,24.86,20.62,26.61
2018-07-03,27.96,18.21,27.2
2018-07-04,26.55,18.7,27.27
2018-07-05,28.42,19.31,25.97
2018-07-06,27.92,20.98,26.06
2018-07-07,26.82,20.16,25.91
2018-07-08,25.25,18.84,25.71
2018-07-09,23.9,19.53,26.45
2018-07-10,26.01,19.25,25.69
2018-07-11,28.58,19.18,25.51
2018-07-12,27.27,20.89,24.85
2018-07-13,24.31,18.56,25.7
2018-07-14,27.11,21.55,24.71
2018-07-15,27.49,20.79,25.05
2018-07-16,24.91,21.06,25.01
2018-07-17,26.94,19.52,25.67
2018-07-18,26.69,19.84,24.06
2018-07-19,24.23,18.56,23.6
2018-07-20,27.18,19.47,24.31
2018-07-21,27.52,20.49,25.51
2018-07-22,28.5,21.29,24.74
2018-07-23,28.37,18.89,23.83
2018-07-24,23.43,19.62,23.34
2018-07-25,24.24,-999.0,23.88
2018-07-26,27.06,18.57,22.83
2018-07-27,26.98,20.55,23.32
2018-07-28,26.89,-999.0,23.17
2018-07-29,33.48,19.72,23.41
2018-07-30,26.82,19.45,25.52
2018-07-31,27.86,19.09,22.59
2018-08-01,27.39,19.84,21.98
2018-08-02,26.69,19.61,22.02
2018-08-03,24.65,19.42,21.27
2018-08-04,26.69,19.03,21.39
2018-08-05,23.51,20.05,21.33
2018-08-06,24.47,21.34,21.11
2018-08-07,23.86,19.79,21.25
2018-08-08,24.87,20.6,20.66
2018-08-09,29.21,18.17,21.58
2018-08-10,20.73,19.68,20.66
2018-08-11,25.7,18.37,20.48
