Year,Month,Day,Tair,Twat_obs,Twat_mod,Twat_obs_agg,Twat_mod_agg,Q
-999,-999,-999,3.99,4.8,4.8,-999.0,-999.0,15.37
-999,-999,-999,2.73,4.9,4.242097565026268,-999.0,-999.0,14.84
-999,-999,-999,4.3,4.76,4.226258670800612,-999.0,-999.0,16.43
-999,-999,-999,6.06,3.45,5.0568296065753895,-999.0,-999.0,15.5
-999,-999,-999,2.56,4.39,4.587702119183689,-999.0,-999.0,15.7
-999,-999,-999,2.58,4.57,3.7764843342402212,-999.0,-999.0,16.26
-999,-999,-999,6.22,4.18,4.641402241589858,-999.0,-999.0,16.11
-999,-999,-999,4.62,2.06,5.018215227703654,-999.0,-999.0,16.75
-999,-999,-999,2.17,4.28,4.114590893121845,-999.0,-999.0,16.44
-999,-999,-999,4.23,6.31,4.080894720854378,-999.0,-999.0,16.18
-999,-999,-999,2.25,3.72,3.7981143836456055,-999.0,-999.0,16.79
-999,-999,-999,2.28,3.33,3.395207719843075,-999.0,-999.0,16.31
-999,-999,-999,3.74,4.42,3.7048286863271205,-999.0,-999.0,16.96
-999,-999,-999,-0.53,4.35,2.7351459960156648,-999.0,-999.0,17.05
-999,-999,-999,-0.1,5.21,1.8402959517222426,-999.0,-999.0,17.12
-999,-999,-999,2.27,2.75,2.352685963710392,-999.0,-999.0,17.32
-999,-999,-999,1.43,4.74,2.68970413833239,-999.0,-999.0,16.93
-999,-999,-999,4.14,4.59,3.4641828847773106,-999.0,-999.0,17.47
-999,-999,-999,1.76,3.86,3.4076358409830005,-999.0,-999.0,17.92
-999,-999,-999,0.81,4.34,2.697165590162446,-999.0,-999.0,18.12
-999,-999,-999,6.64,5.03,4.090181687348785,-999.0,-999.0,17.8
-999,-999,-999,3.32,4.88,4.40561012743372,-999.0,-999.0,19.25
-999,-999,-999,3.99,2.87,4.197526208314698,-999.0,-999.0,18.18
-999,-999,-999,1.08,4.85,3.3629768043420674,-999.0,-999.0,19.32
-999,-999,-999,2.92,3.97,3.1753580255455534,-999.0,-999.0,19.1
-999,-999,-999,4.32,4.13,3.86813947358747,-999.0,-999.0,18.76
-999,-999,-999,1.88,4.14,3.495147406944152,-999.0,-999.0,20.63
-999,-999,-999,5.02,3.94,3.9757579069427043,-999.0,-999.0,18.92
-999,-999,-999,3.17,5.3,4.071430135084388,-999.0,-999.0,20.13
-999,-999,-999,3.88,4.05,3.9785403535867525,-999.0,-999.0,20.36
-999,-999,-999,3.36,3.04,3.9679715762742065,-999.0,-999.0,19.6
-999,-999,-999,8.37,3.8,5.274386018129672,-999.0,-999.0,21.06
-999,-999,-999,4.75,4.4,5.4211093095035245,-999.0,-999.0,20.11
-999,-999,-999,2.77,5.49,4.366118939137315,-999.0,-999.0,20.55
-999,-999,-999,6.64,4.9,4.853999377255676,-999.0,-999.0,20.71
-999,-999,-999,2.67,3.48,4.4621720223354195,-999.0,-999.0,20.68
-999,-999,-999,5.65,6.86,4.573021614021032,-999.0,-999.0,21.41
-999,-999,-999,1.43,4.68,3.834746958292896,-999.0,-999.0,21.57
-999,-999,-999,2.82,5.73,3.448393101125121,-999.0,-999.0,20.68
-999,-999,-999,6.0,4.35,4.396150217707723,-999.0,-999.0,22.35
-999,-999,-999,7.21,5.09,5.537854855202453,-999.0,-999.0,21.04
-999,-999,-999,6.21,5.45,5.7322376857364885,-999.0,-999.0,22.45
-999,-999,-999,5.77,5.88,5.471006011129896,-999.0,-999.0,22.7
-999,-999,-999,5.54,5.77,5.349567605536482,-999.0,-999.0,21.7
-999,-999,-999,3.32,-999.0,4.68451044266381,-999.0,-999.0,22.1
-999,-999,-999,4.98,4.52,4.648002222361189,-999.0,-999.0,22.03
-999,-999,-999,5.65,4.32,5.057467416838104,-999.0,-999.0,22.53
-999,-999,-999,8.83,5.29,6.158829213720711,-999.0,-999.0,22.65
-999,-999,-999,7.56,5.96,6.529067480202128,-999.0,-999.0,23.44
-999,-999,-999,3.5,4.87,5.288186086427114,-999.0,-999.0,24.06
-999,-999,-999,7.83,6.23,5.557448926409224,-999.0,-999.0,24.31
-999,-999,-999,6.56,6.69,5.9609005701941165,-999.0,-999.0,23.23
-999,-999,-999,6.14,4.4,5.825784496147213,-999.0,-999.0,23.54
-999,-999,-999,8.88,4.55,6.520877266705619,-999.0,-999.0,23.23
-999,-999,-999,9.88,5.33,7.3796653706348305,-999.0,-999.0,23.64
-999,-999,-999,9.85,5.86,7.665278593921506,-999.0,-999.0,24.75
-999,-999,-999,6.48,5.11,6.74286511903217,-999.0,-999.0,25.54
-999,-999,-999,7.71,7.07,6.479174177718422,-999.0,-999.0,24.0
-999,-999,-999,9.16,6.22,7.016620867366752,-999.0,-999.0,24.36
-999,-999,-999,10.63,5.93,7.743515502967572,-999.0,-999.0,24.76
-999,-999,-999,7.89,4.54,7.381036949063221,-999.0,-999.0,25.09
-999,-999,-999,8.66,4.75,7.165020364320353,-999.0,-999.0,24.76
-999,-999,-999,7.0,6.44,6.737033468986871,-999.0,-999.0,25.49
-999,-999,-999,7.0,4.13,6.421156906537832,-999.0,-999.0,25.19
-999,-999,-999,11.2,7.37,7.475159565510791,-999.0,-999.0,25.55
-999,-999,-999,12.47,6.3,8.62430608007907,-999.0,-999.0,26.03
-999,-999,-999,9.8,9.8,8.413072584879593,-999.0,-999.0,25.87
-999,-999,-999,12.14,8.96,8.678946888298492,-999.0,-999.0,25.82
-999,-999,-999,11.05,6.58,8.759493445952739,-999.0,-999.0,26.11
-999,-999,-999,9.23,6.76,8.158538253787272,-999.0,-999.0,26.26
-999,-999,-999,11.43,7.97,8.367124829989198,-999.0,-999.0,26.28
-999,-999,-999,13.98,8.78,9.389143876237545,-999.0,-999.0,26.47
-999,-999,-999,11.02,5.55,9.083586908108053,-999.0,-999.0,27.96
-999,-999,-999,14.42,5.51,9.573375908423596,-999.0,-999.0,27.2
-999,-999,-999,6.25,6.79,8.042701686319901,-999.0,-999.0,26.88
-999,-999,-999,13.33,8.11,8.482094016963188,-999.0,-999.0,27.57
-999,-999,-999,12.06,8.13,9.157433644968028,-999.0,-999.0,27.13
-999,-999,-999,11.49,8.82,8.992816857403641,-999.0,-999.0,28.22
-999,-999,-999,12.47,6.67,9.160643419777639,-999.0,-999.0,27.75
-999,-999,-999,8.51,5.67,8.33449750404036,-999.0,-999.0,27.63
-999,-999,-999,12.25,8.97,8.61536937412687,-999.0,-999.0,28.06
-999,-999,-999,13.61,7.4,9.557167263722663,-999.0,-999.0,27.39
-999,-999,-999,16.05,6.33,10.655079675258005,-999.0,-999.0,27.63
-999,-999,-999,12.26,8.62,10.25875016375907,-999.0,-999.0,27.73
-999,-999,-999,11.89,9.39,9.568191733787948,-999.0,-999.0,28.37
-999,-999,-999,12.71,8.6,9.433185666763636,-999.0,-999.0,29.79
-999,-999,-999,15.75,8.39,10.176855561485574,-999.0,-999.0,30.58
-999,-999,-999,14.78,8.82,10.60014878925821,-999.0,-999.0,29.01
-999,-999,-999,13.27,8.74,10.302930426464775,-999.0,-999.0,29.03
-999,-999,-999,15.56,7.89,10.73741342818006,-999.0,-999.0,28.26
-999,-999,-999,14.94,8.65,10.972187407449232,-999.0,-999.0,28.72
-999,-999,-999,16.89,10.02,11.476092475895056,-999.0,-999.0,28.74
-999,-999,-999,13.75,9.95,11.02851535796391,-999.0,-999.0,28.9
-999,-999,-999,14.71,9.93,10.789190269467362,-999.0,-999.0,29.18
-999,-999,-999,14.78,8.9,10.864243188580337,-999.0,-999.0,29.15
-999,-999,-999,12.85,9.84,10.446316337157343,-999.0,-999.0,28.82
-999,-999,-999,16.57,7.98,11.008806619851056,-999.0,-999.0,30.0
-999,-999,-999,16.71,10.47,11.660674754503738,-999.0,-999.0,29.22
-999,-999,-999,16.4,11.86,11.76999706688482,-999.0,-999.0,29.84
-999,-999,-999,16.13,9.09,11.522427401467604,-999.0,-999.0,31.62
-999,-999,-999,13.97,10.11,11.02284196362595,-999.0,-999.0,29.51
-999,-999,-999,16.16,11.16,11.33952830325596,-999.0,-999.0,29.24
-999,-999,-999,16.52,12.22,11.733248702354063,-999.0,-999.0,29.9
-999,-999,-999,15.81,10.66,11.603464876344086,-999.0,-999.0,30.84
-999,-999,-999,17.29,10.55,11.762132819087029,-999.0,-999.0,31.84
-999,-999,-999,18.62,9.41,12.47909899151028,-999.0,-999.0,29.78
-999,-999,-999,21.79,11.62,13.65511513899932,-999.0,-999.0,30.59
-999,-999,-999,18.56,-999.0,13.522694403692142,-999.0,-999.0,30.16
-999,-999,-999,18.93,12.07,13.249603321256854,-999.0,-999.0,30.38
-999,-999,-999,18.46,11.91,12.805333723519054,-999.0,-999.0,33.24
-999,-999,-999,14.97,12.39,11.978217653361579,-999.0,-999.0,30.01
-999,-999,-999,18.95,12.2,12.477174729855758,-999.0,-999.0,30.72
-999,-999,-999,19.32,11.53,13.101461379077717,-999.0,-999.0,30.9
-999,-999,-999,24.32,13.3,14.537039823817897,-999.0,-999.0,31.4
-999,-999,-999,19.2,12.84,14.21849076545507,-999.0,-999.0,30.77
-999,-999,-999,20.37,12.77,13.921518156239287,-999.0,-999.0,30.93
-999,-999,-999,19.89,11.92,13.885700743422197,-999.0,-999.0,30.62
-999,-999,-999,17.81,14.33,13.288434205251564,-999.0,-999.0,30.97
-999,-999,-999,22.62,13.83,14.161428684780889,-999.0,-999.0,30.7
-999,-999,-999,22.02,12.75,14.718225699704364,-999.0,-999.0,31.25
-999,-999,-999,22.28,14.44,14.924489727474995,-999.0,-999.0,30.74
