Year,Month,Day,Tair,Twat_obs,Twat_mod,Twat_obs_agg,Twat_mod_agg,Q
-999,-999,-999,3.99,4.8,4.8,-999.0,-999.0,15.37
-999,-999,-999,2.73,4.9,4.1583745852783505,-999.0,-999.0,14.84
-999,-999,-999,4.3,4.76,4.115415437344362,-999.0,-999.0,16.43
-999,-999,-999,6.06,3.45,4.92643312119067,-999.0,-999.0,15.5
-999,-999,-999,2.56,4.39,4.454617655289437,-999.0,-999.0,15.7
-999,-999,-999,2.58,4.57,3.6566734379358765,-999.0,-999.0,16.26
-999,-999,-999,6.22,4.18,4.515570414115397,-999.0,-999.0,16.11
-999,-999,-999,4.62,2.06,4.879489974501718,-999.0,-999.0,16.75
-999,-999,-999,2.17,4.28,3.986069236426801,-999.0,-999.0,16.44
-999,-999,-999,4.23,6.31,3.9606590793144796,-999.0,-999.0,16.18
-999,-999,-999,2.25,3.72,3.679327350220144,-999.0,-999.0,16.79
-999,-999,-999,2.28,3.33,3.285816860166591,-999.0,-999.0,16.31
-999,-999,-999,3.74,4.42,3.594132635498021,-999.0,-999.0,16.96
-999,-999,-999,-0.53,4.35,2.6325693312087908,-999.0,-999.0,17.05
-999,-999,-999,-0.1,5.21,1.7583087993919906,-999.0,-999.0,17.12
-999,-999,-999,2.27,2.75,2.2699148114770233,-999.0,-999.0,17.32
-999,-999,-999,1.43,4.74,2.599469901098997,-999.0,-999.0,16.93
-999,-999,-999,4.14,4.59,3.364646240729725,-999.0,-999.0,17.47
-999,-999,-999,1.76,3.86,3.3006915680962012,-999.0,-999.0,17.92
-999,-999,-999,0.81,4.34,2.601136819199473,-999.0,-999.0,18.12
-999,-999,-999,6.64,5.03,3.9837684110172393,-999.0,-999.0,17.8
-999,-999,-999,3.32,4.88,4.279377000852779,-999.0,-999.0,19.25
-999,-999,-999,3.99,2.87,4.076989882656546,-999.0,-999.0,18.18
-999,-999,-999,1.08,4.85,3.251454865522776,-999.0,-999.0,19.32
-999,-999,-999,2.92,3.97,3.075318986947016,-999.0,-999.0,19.1
-999,-999,-999,4.32,4.13,3.7602993167683008,-999.0,-999.0,18.76
-999,-999,-999,1.88,4.14,3.384761140818176,-999.0,-999.0,20.63
-999,-999,-999,5.02,3.94,3.8668321061438093,-999.0,-999.0,18.92
-999,-999,-999,3.17,5.3,3.9542667503796856,-999.0,-999.0,20.13
-999,-999,-999,3.88,4.05,3.864646123066771,-999.0,-999.0,20.36
-999,-999,-999,3.36,3.04,3.8549295478557672,-999.0,-999.0,19.6
-999,-999,-999,8.37,3.8,5.146461121631797,-999.0,-999.0,21.06
-999,-999,-999,4.75,4.4,5.277560712497217,-999.0,-999.0,20.11
-999,-999,-999,2.77,5.49,4.239237674802144,-999.0,-999.0,20.55
-999,-999,-999,6.64,4.9,4.730935478705938,-999.0,-999.0,20.71
-999,-999,-999,2.67,3.48,4.336304355955337,-999.0,-999.0,20.68
-999,-999,-999,5.65,6.86,4.454495834039156,-999.0,-999.0,21.41
-999,-999,-999,1.43,4.68,3.7199745439891356,-999.0,-999.0,21.57
-999,-999,-999,2.82,5.73,3.3510744109221053,-999.0,-999.0,20.68
-999,-999,-999,6.0,4.35,4.288155694576609,-999.0,-999.0,22.35
-999,-999,-999,7.21,5.09,5.407830396063393,-999.0,-999.0,21.04
-999,-999,-999,6.21,5.45,5.589792738926194,-999.0,-999.0,22.45
-999,-999,-999,5.77,5.88,5.331325949815536,-999.0,-999.0,22.7
