Year,Month,Day,Tair,Twat_obs,Twat_mod,Twat_obs_agg,Twat_mod_agg,Q
-999,-999,-999,3.99,4.8,4.8,-999.0,-999.0,15.37
-999,-999,-999,2.73,4.9,4.241902946553037,-999.0,-999.0,14.84
-999,-999,-999,4.3,4.76,4.226000247653518,-999.0,-999.0,16.43
-999,-999,-999,6.06,3.45,5.056525040446414,-999.0,-999.0,15.5
-999,-999,-999,2.56,4.39,4.587391576911161,-999.0,-999.0,15.7
-999,-999,-999,2.58,4.57,3.776204605855862,-999.0,-999.0,16.26
-999,-999,-999,6.22,4.18,4.641108009248948,-999.0,-999.0,16.11
-999,-999,-999,4.62,2.06,5.017891182433448,-999.0,-999.0,16.75
-999,-999,-999,2.17,4.28,4.114290828599213,-999.0,-999.0,16.44
-999,-999,-999,4.23,6.31,4.080613700551589,-999.0,-999.0,16.18
-999,-999,-999,2.25,3.72,3.7978370236460837,-999.0,-999.0,16.79
-999,-999,-999,2.28,3.33,3.3949522144986815,-999.0,-999.0,16.31
-999,-999,-999,3.74,4.42,3.704569999618081,-999.0,-999.0,16.96
-999,-999,-999,-0.53,4.35,2.734906732430141,-999.0,-999.0,17.05
-999,-999,-999,-0.1,5.21,1.8401045386273094,-999.0,-999.0,17.12
-999,-999,-999,2.27,2.75,2.352492474942367,-999.0,-999.0,17.32
-999,-999,-999,1.43,4.74,2.689493429642538,-999.0,-999.0,16.93
-999,-999,-999,4.14,4.59,3.4639501951819205,-999.0,-999.0,17.47
-999,-999,-999,1.76,3.86,3.4073861934756864,-999.0,-999.0,17.92
-999,-999,-999,0.81,4.34,2.6969413820078616,-999.0,-999.0,18.12
-999,-999,-999,6.64,5.03,4.089932553451476,-999.0,-999.0,17.8
-999,-999,-999,3.32,4.88,4.405315379445973,-999.0,-999.0,19.25
-999,-999,-999,3.99,2.87,4.1972444346166125,-999.0,-999.0,18.18
-999,-999,-999,1.08,4.85,3.362716420961468,-999.0,-999.0,19.32
-999,-999,-999,2.92,3.97,3.175124049897634,-999.0,-999.0,19.1
-999,-999,-999,4.32,4.13,3.867887244668328,-999.0,-999.0,18.76
-999,-999,-999,1.88,4.14,3.494889633805791,-999.0,-999.0,20.63
-999,-999,-999,5.02,3.94,3.975502969280914,-999.0,-999.0,18.92
-999,-999,-999,3.17,5.3,4.071156403814478,-999.0,-999.0,20.13
-999,-999,-999,3.88,4.05,3.978274017995412,-999.0,-999.0,20.36
-999,-999,-999,3.36,3.04,3.9677072934869684,-999.0,-999.0,19.6
-999,-999,-999,8.37,3.8,5.274086447622617,-999.0,-999.0,21.06
-999,-999,-999,4.75,4.4,5.420773865821581,-999.0,-999.0,20.11
-999,-999,-999,2.77,5.49,4.365822442991728,-999.0,-999.0,20.55
-999,-999,-999,6.64,4.9,4.853711206667712,-999.0,-999.0,20.71
-999,-999,-999,2.67,3.48,4.461878002904991,-999.0,-999.0,20.68
-999,-999,-999,5.65,6.86,4.572744171917376,-999.0,-999.0,21.41
-999,-999,-999,1.43,4.68,3.834478926427295,-999.0,-999.0,21.57
-999,-999,-999,2.82,5.73,3.448165410410619,-999.0,-999.0,20.68
-999,-999,-999,6.0,4.35,4.3958974029505455,-999.0,-999.0,22.35
-999,-999,-999,7.21,5.09,5.537550620725243,-999.0,-999.0,21.04
-999,-999,-999,6.21,5.45,5.73190470222933,-999.0,-999.0,22.45
-999,-999,-999,5.77,5.88,5.470679313546768,-999.0,-999.0,22.7
-999,-999,-999,5.54,5.77,5.349253053899325,-999.0,-999.0,21.7
-999,-999,-999,3.32,-999.0,4.684219831788458,-999.0,-999.0,22.1
-999,-999,-999,4.98,4.52,4.647733852472075,-999.0,-999.0,22.03
-999,-999,-999,5.65,4.32,5.057184387193835,-999.0,-999.0,22.53
-999,-999,-999,8.83,5.29,6.158508926995556,-999.0,-999.0,22.65
-999,-999,-999,7.56,5.96,6.528706826314728,-999.0,-999.0,23.44
-999,-999,-999,3.5,4.87,5.287857739181154,-999.0,-999.0,24.06
-999,-999,-999,7.83,6.23,5.557148678532898,-999.0,-999.0,24.31
-999,-999,-999,6.56,6.69,5.960573425819322,-999.0,-999.0,23.23
-999,-999,-999,6.14,4.4,5.825463087497032,-999.0,-999.0,23.54
-999,-999,-999,8.88,4.55,6.520543138849763,-999.0,-999.0,23.23
-999,-999,-999,9.88,5.33,7.379287260405856,-999.0,-999.0,23.64
-999,-999,-999,9.85,5.86,7.664872552288568,-999.0,-999.0,24.75
-999,-999,-999,6.48,5.11,6.742477799551479,-999.0,-999.0,25.54
-999,-999,-999,7.71,7.07,6.478827913138801,-999.0,-999.0,24.0
-999,-999,-999,9.16,6.22,7.016262506578691,-999.0,-999.0,24.36
-999,-999,-999,10.63,5.93,7.7431249093158065,-999.0,-999.0,24.76
-999,-999,-999,7.89,4.54,7.380639580870838,-999.0,-999.0,25.09
-999,-999,-999,8.66,4.75,7.164648739163028,-999.0,-999.0,24.76
-999,-999,-999,7.0,6.44,6.736675083680823,-999.0,-999.0,25.49
-999,-999,-999,7.0,4.13,6.420825328236477,-999.0,-999.0,25.19
-999,-999,-999,11.2,7.37,7.474805767092878,-999.0,-999.0,25.55
-999,-999,-999,12.47,6.3,8.623885602887995,-999.0,-999.0,26.03
-999,-999,-999,9.8,9.8,8.412635369613243,-999.0,-999.0,25.87
-999,-999,-999,12.14,8.96,8.678518372268405,-999.0,-999.0,25.82
-999,-999,-999,11.05,6.58,8.759049389952178,-999.0,-999.0,26.11
-999,-999,-999,9.23,6.76,8.15811685233793,-999.0,-999.0,26.26
-999,-999,-999,11.43,7.97,8.366717990198175,-999.0,-999.0,26.28
-999,-999,-999,13.98,8.78,9.388697317571308,-999.0,-999.0,26.47
-999,-999,-999,11.02,5.55,9.083117343746576,-999.0,-999.0,27.96
-999,-999,-999,14.42,5.51,9.572914647518616,-999.0,-999.0,27.2
-999,-999,-999,6.25,6.79,8.042263554354747,-999.0,-999.0,26.88
-999,-999,-999,13.33,8.11,8.481709045098725,-999.0,-999.0,27.57
-999,-999,-999,12.06,8.13,9.156993704071548,-999.0,-999.0,27.13
-999,-999,-999,11.49,8.82,8.992375847316607,-999.0,-999.0,28.22
-999,-999,-999,12.47,6.67,9.1602060186834,-999.0,-999.0,27.75
-999,-999,-999,8.51,5.67,8.33407909003212,-999.0,-999.0,27.63
-999,-999,-999,12.25,8.97,8.614978138477138,-999.0,-999.0,28.06
-999,-999,-999,13.61,7.4,9.556731749687897,-999.0,-999.0,27.39
-999,-999,-999,16.05,6.33,10.654592593929271,-999.0,-999.0,27.63
-999,-999,-999,12.26,8.62,10.25824539802503,-999.0,-999.0,27.73
-999,-999,-999,11.89,9.39,9.567730969413399,-999.0,-999.0,28.37
-999,-999,-999,12.71,8.6,9.43274066836668,-999.0,-999.0,29.79
-999,-999,-999,15.75,8.39,10.176387708076392,-999.0,-999.0,30.58
-999,-999,-999,14.78,8.82,10.59964680411944,-999.0,-999.0,29.01
-999,-999,-999,13.27,8.74,10.302436503230407,-999.0,-999.0,29.03
-999,-999,-999,15.56,7.89,10.736925132389885,-999.0,-999.0,28.26
-999,-999,-999,14.94,8.65,10.971675495926856,-999.0,-999.0,28.72
-999,-999,-999,16.89,10.02,11.475567819197002,-999.0,-999.0,28.74
-999,-999,-999,13.75,9.95,11.027986464978916,-999.0,-999.0,28.9
-999,-999,-999,14.71,9.93,10.788693062355659,-999.0,-999.0,29.18
-999,-999,-999,14.78,8.9,10.863745869923546,-999.0,-999.0,29.15
-999,-999,-999,12.85,9.84,10.445833320854517,-999.0,-999.0,28.82
-999,-999,-999,16.57,7.98,11.008324060365311,-999.0,-999.0,30.0
-999,-999,-999,16.71,10.47,11.660149555238895,-999.0,-999.0,29.22
-999,-999,-999,16.4,11.86,11.769456096875487,-999.0,-999.0,29.84
-999,-999,-999,16.13,9.09,11.521888949066296,-999.0,-999.0,31.62
-999,-999,-999,13.97,10.11,11.022331899581442,-999.0,-999.0,29.51
-999,-999,-999,16.16,11.16,11.339032413191552,-999.0,-999.0,29.24
-999,-999,-999,16.52,12.22,11.732726601450032,-999.0,-999.0,29.9
-999,-999,-999,15.81,10.66,11.602936968096147,-999.0,-999.0,30.84
-999,-999,-999,17.29,10.55,11.76160499592118,-999.0,-999.0,31.84
-999,-999,-999,18.62,9.41,12.478547970263467,-999.0,-999.0,29.78
-999,-999,-999,21.79,11.62,13.654509558941125,-999.0,-999.0,30.59
-999,-999,-999,18.56,-999.0,13.522058882341291,-999.0,-999.0,30.16
-999,-999,-999,18.93,12.07,13.248995162153083,-999.0,-999.0,30.38
-999,-999,-999,18.46,11.91,12.804732822862368,-999.0,-999.0,33.24
-999,-999,-999,14.97,12.39,11.977664141058874,-999.0,-999.0,30.01
-999,-999,-999,18.95,12.2,12.476640081528418,-999.0,-999.0,30.72
-999,-999,-999,19.32,11.53,13.100882088900477,-999.0,-999.0,30.9
-999,-999,-999,24.32,13.3,14.536406199236863,-999.0,-999.0,31.4
-999,-999,-999,19.2,12.84,14.217816809636973,-999.0,-999.0,30.77
-999,-999,-999,20.37,12.77,13.920885968978018,-999.0,-999.0,30.93
-999,-999,-999,19.89,11.92,13.885071916792102,-999.0,-999.0,30.62
-999,-999,-999,17.81,14.33,13.28782672442025,-999.0,-999.0,30.97
-999,-999,-999,22.62,13.83,14.160821418481975,-999.0,-999.0,30.7
-999,-999,-999,22.02,12.75,14.717560577377082,-999.0,-999.0,31.25
-999,-999,-999,22.28,14.44,14.92381541171093,-999.0,-999.0,30.74
-999,-999,-999,19.06,13.08,14.181842394512946,-999.0,-999.0,31.14
-999,-999,-999,23.87,12.93,14.884783342830882,-999.0,-999.0,30.94
-999,-999,-999,18.43,13.08,14.12955401676451,-999.0,-999.0,31.72
-999,-999,-999,22.59,12.21,14.48204100691033,-999.0,-999.0,30.95
-999,-999,-999,25.97,14.58,15.993315797894656,-999.0,-999.0,30.4
-999,-999,-999,19.78,12.41,15.04122425888712,-999.0,-999.0,31.87
-999,-999,-999,20.79,13.15,14.484080168575543,-999.0,-999.0,30.63
-999,-999,-999,22.29,12.43,14.880671178037048,-999.0,-999.0,30.72
-999,-999,-999,21.25,14.55,14.888651530761862,-999.0,-999.0,30.74
-999,-999,-999,19.32,14.61,14.162523603800086,-999.0,-999.0,31.98
-999,-999,-999,22.72,14.57,14.764748287964721,-999.0,-999.0,30.33
-999,-999,-999,20.62,13.98,14.328516740485771,-999.0,-999.0,34.77
-999,-999,-999,23.85,13.98,14.982255580751547,-999.0,-999.0,31.65
-999,-999,-999,21.22,15.74,15.044832638860639,-999.0,-999.0,31.06
-999,-999,-999,26.31,14.85,16.140381221175275,-999.0,-999.0,30.9
-999,-999,-999,21.79,15.84,15.822137148398946,-999.0,-999.0,31.05
-999,-999,-999,22.86,14.76,15.522263652860534,-999.0,-999.0,31.17
-999,-999,-999,25.28,15.95,16.161196996097175,-999.0,-999.0,31.23
-999,-999,-999,21.33,17.19,15.602232893436025,-999.0,-999.0,31.13
-999,-999,-999,24.38,16.6,15.863446310192893,-999.0,-999.0,30.82
-999,-999,-999,26.68,15.72,16.88778729521506,-999.0,-999.0,30.65
-999,-999,-999,20.98,16.5,15.977001460675256,-999.0,-999.0,30.63
-999,-999,-999,24.7,16.12,16.088014368075157,-999.0,-999.0,30.56
-999,-999,-999,24.98,16.48,16.48820643789778,-999.0,-999.0,31.37
-999,-999,-999,26.15,16.26,16.946909292086282,-999.0,-999.0,30.91
-999,-999,-999,22.23,16.54,16.383184873694567,-999.0,-999.0,29.74
-999,-999,-999,22.19,17.03,15.72419476067408,-999.0,-999.0,30.84
-999,-999,-999,25.99,15.93,16.49911807943454,-999.0,-999.0,30.5
-999,-999,-999,25.65,16.01,17.075288078201975,-999.0,-999.0,30.33
-999,-999,-999,25.67,15.75,17.24716392738765,-999.0,-999.0,30.1
-999,-999,-999,25.97,15.64,17.27002265013534,-999.0,-999.0,30.96
-999,-999,-999,24.02,16.13,16.793316679614815,-999.0,-999.0,30.75
-999,-999,-999,25.95,17.61,17.095767303433426,-999.0,-999.0,29.75
-999,-999,-999,26.17,16.65,17.439534168741623,-999.0,-999.0,30.22
-999,-999,-999,24.25,18.16,17.133129228756122,-999.0,-999.0,29.54
-999,-999,-999,29.5,17.78,18.261075270300857,-999.0,-999.0,29.34
-999,-999,-999,26.81,15.87,18.45164924017041,-999.0,-999.0,29.49
-999,-999,-999,23.57,-999.0,17.25690105840264,-999.0,-999.0,30.21
-999,-999,-999,27.34,18.83,17.502700862748714,-999.0,-999.0,30.2
-999,-999,-999,24.16,17.12,17.219541680372284,-999.0,-999.0,29.79
-999,-999,-999,27.76,18.62,17.735540149623393,-999.0,-999.0,29.84
-999,-999,-999,28.58,17.43,18.51257517888863,-999.0,-999.0,29.61
-999,-999,-999,24.69,18.47,17.92742369350345,-999.0,-999.0,28.94
-999,-999,-999,28.32,17.19,18.246861353315126,-999.0,-999.0,29.36
-999,-999,-999,27.29,16.74,18.420323230726964,-999.0,-999.0,29.51
-999,-999,-999,28.16,18.23,18.58599102193461,-999.0,-999.0,29.37
-999,-999,-999,30.37,18.56,19.264519966912548,-999.0,-999.0,29.62
-999,-999,-999,26.14,18.36,18.662608168426342,-999.0,-999.0,29.12
-999,-999,-999,25.17,17.65,17.848200156056233,-999.0,-999.0,28.78
-999,-999,-999,24.94,18.51,17.411467771587443,-999.0,-999.0,29.18
-999,-999,-999,25.13,19.24,17.40223746725099,-999.0,-999.0,28.34
-999,-999,-999,26.65,19.0,17.933853463806788,-999.0,-999.0,27.88
-999,-999,-999,27.52,19.29,18.48812125527933,-999.0,-999.0,28.04
-999,-999,-999,27.43,18.5,18.759829170971898,-999.0,-999.0,27.68
-999,-999,-999,28.55,20.4,19.15426487346848,-999.0,-999.0,27.58
-999,-999,-999,26.95,18.11,18.96086701923251,-999.0,-999.0,27.67
-999,-999,-999,29.85,19.83,19.527657929804324,-999.0,-999.0,27.29
-999,-999,-999,26.43,20.58,19.14322382339653,-999.0,-999.0,27.34
-999,-999,-999,32.42,19.93,20.296464215236856,-999.0,-999.0,26.74
-999,-999,-999,28.24,-999.0,20.174289758107108,-999.0,-999.0,27.33
-999,-999,-999,25.28,19.01,18.835145265989514,-999.0,-999.0,27.09
-999,-999,-999,24.86,20.62,18.070928038777406,-999.0,-999.0,26.61
-999,-999,-999,27.96,18.21,18.559097940829204,-999.0,-999.0,27.2
-999,-999,-999,26.55,18.7,18.63224368223885,-999.0,-999.0,27.27
-999,-999,-999,28.42,19.31,19.175450439181784,-999.0,-999.0,25.97
-999,-999,-999,27.92,20.98,19.505752909661403,-999.0,-999.0,26.06
-999,-999,-999,26.82,20.16,19.247611114872058,-999.0,-999.0,25.91
-999,-999,-999,25.25,18.84,18.646879383459968,-999.0,-999.0,25.71
-999,-999,-999,23.9,19.53,17.7997862868408,-999.0,-999.0,26.45
-999,-999,-999,26.01,19.25,18.006630140220246,-999.0,-999.0,25.69
-999,-999,-999,28.58,19.18,19.099431930259808,-999.0,-999.0,25.51
-999,-999,-999,27.27,20.89,19.505727161076933,-999.0,-999.0,24.85
-999,-999,-999,24.31,18.56,18.543631033089788,-999.0,-999.0,25.7
-999,-999,-999,27.11,21.55,18.726446323465616,-999.0,-999.0,24.71
-999,-999,-999,27.49,20.79,19.25627795508992,-999.0,-999.0,25.05
-999,-999,-999,24.91,21.06,18.72031689446645,-999.0,-999.0,25.01
-999,-999,-999,26.94,19.52,18.657253833106413,-999.0,-999.0,25.67
-999,-999,-999,26.69,19.84,19.04378842633641,-999.0,-999.0,24.06
-999,-999,-999,24.23,18.56,18.651586755270134,-999.0,-999.0,23.6
-999,-999,-999,27.18,19.47,18.91444080997536,-999.0,-999.0,24.31
-999,-999,-999,27.52,20.49,19.183208391251718,-999.0,-999.0,25.51
-999,-999,-999,28.5,21.29,19.58800899777617,-999.0,-999.0,24.74
-999,-999,-999,28.37,18.89,20.021421520516775,-999.0,-999.0,23.83
-999,-999,-999,23.43,19.62,18.928071899989583,-999.0,-999.0,23.34
-999,-999,-999,24.24,-999.0,18.08866110320999,-999.0,-999.0,23.88
-999,-999,-999,27.06,18.57,18.855560407266843,-999.0,-999.0,22.83
